תאריך ביצוע,"שם ני""ע",פעולה,כמות ביצוע,שער ביצוע,מטבע,עמלות ודמי ניהול,תמורה נטו לפני מס,רווח/הפסד,מס שנוכה/הוחזר בארץ,"מס חו""ל בשקלים"
10/06/25,GLOBAL X URANIUM ET,קניה,294.0,34.02,דולר,-89.57,-35046.0,0.0,0,0.0
10/06/25,הראל אנד קמע יש,מכירה,-35000.0,136.83,"ש""ח",-49.86,47841.0,-3952.0,-987.9,0.0
10/06/25,קסם.תא ביטוח,קניה,87.0,57560.0,"ש""ח",-50.08,-50127.0,0.0,0,0.0
12/06/25,TAIWAN SEMIC-ADR,קניה,47.0,214.66,דולר,-87.23,-36115.0,0.0,0,0.0
12/06/25,GLOBAL X URANIUM ET,קניה,276.0,36.29,דולר,-91.59,-35859.0,0.0,0,0.0
12/06/25,SOFI TECHNOLOGIE,קניה,335.0,14.92,דולר,-92.06,-17935.0,0.0,0,0.0
12/06/25,פועלים,קניה,172.0,5784.0,"ש""ח",-9.95,-9958.0,0.0,0,0.0
12/06/25,פועלים,קניה,690.0,5785.0,"ש""ח",-39.91,-39956.0,0.0,0,0.0
13/06/25,איביאי אנד אשחצ,מכירה,-32132.0,151.4,"ש""ח",-50.41,48597.0,-977.14,-244.29,0.0
13/06/25,תכלית SP USADממ,מכירה,-26747.0,198.34,"ש""ח",-55.06,52995.0,2497.0,624.24,0.0
16/06/25,פועלים,מכירה,-89.0,5626.0,"ש""ח",-5.04,5002.0,-150.81,-37.7,0.0
16/06/25,פועלים,מכירה,-676.0,5625.0,"ש""ח",-38.28,37987.0,-1158.0,-289.54,0.0
16/06/25,פועלים,מכירה,-97.0,5622.0,"ש""ח",-5.49,5448.0,-169.21,-42.3,0.0
16/06/25,קסם.תא ביטוח,מכירה,-87.0,54330.0,"ש""ח",-47.74,47219.0,-2908.0,-726.98,0.0
16/06/25,הראל אנד קמע יש,מכירה,-33162.0,135.07,"ש""ח",-47.08,44745.0,-4328.0,-1082,0.0
17/06/25,הרל.כספית יורו,קניה,45981.0,106.72,"ש""ח",0.0,-49071.0,0.0,0,0.0
17/06/25,קסםאקט כספ אירו,קניה,46525.0,105.49,"ש""ח",0.0,-49079.0,0.0,0,0.0
17/06/25,הרל.כספית יורו,קניה,45981.0,106.72,"ש""ח",0.0,-49071.0,0.0,0,0.0
20/06/25,ISHARES MSCI CAN,דיבידנד,0.0,0.0,דולר,0.0,470.19,470.19,0,117.54
20/06/25,ISHARES MSCI JPN,דיבידנד,0.0,0.0,דולר,0.0,144.2,144.2,0,36.06
20/06/25,הרל.כספית יורו,מכירה,-91962.0,105.66,"ש""ח",0.0,97167.0,-34.82,-8.71,0.0
20/06/25,הראל תא 90 נקב$,מכירה,-26687.0,138.91,דולר,-133.84,129058.0,5471.0,1368,0.0
24/06/25,NVIDIA CORP,קניה,136.0,146.83,דולר,-104.22,-68098.0,0.0,0,0.0
26/06/25,קסםאקט כספ אירו,מכירה,-45000.0,103.16,"ש""ח",0.0,46422.0,-923.65,-230.91,0.0
27/06/25,קסם DAX 30,קניה,30401.0,165.29,"ש""ח",-50.25,-50300.0,0.0,0,0.0
30/06/25,GLOBAL X URANIUM ET,מכירה,-570.0,38.09,דולר,-123.13,73022.0,2538.0,634.43,0.0
01/07/25,SOFI TECHNOLOGIE,מכירה,-335.0,17.7,דולר,-86.63,19902.0,1821.0,455.35,0.0
02/07/25,קסםאקט כספ אירו,מכירה,-47359.0,103.83,"ש""ח",0.0,49173.0,-7.85,-1.96,0.0
02/07/25,MTF מח STOXX600,מכירה,-30109.0,178.67,"ש""ח",-53.89,53742.0,-598.95,-149.74,0.0
02/07/25,קסם STOX600נטרל,מכירה,-23673.0,210.91,"ש""ח",-50.01,49879.0,-583.35,-145.84,0.0
04/07/25,קסם SP INDST CH,מכירה,-26216.0,200.82,"ש""ח",-52.91,52594.0,1952.0,487.96,0.0
07/07/25,NVIDIA CORP,מכירה,-136.0,158.36,דולר,-111.57,72145.0,3967.0,991.66,0.0
07/07/25,ARK GENOMIC REVO,קניה,394.0,24.68,דולר,-93.03,-32540.0,0.0,0,0.0
07/07/25,SOFI TECHNOLOGIE,קניה,523.0,19.13,דולר,-91.6,-33478.0,0.0,0,0.0
07/07/25,VERTICAL AEROSPA,קניה,1464.0,6.84,דולר,-104.84,-33521.0,0.0,0,0.0
07/07/25,TEMPUS AI INC,קניה,172.0,57.85,דולר,-83.82,-33288.0,0.0,0,0.0
08/07/25,INTEL CORP,מכירה,-696.0,23.48,דולר,-95.34,54295.0,622.3,155.58,0.0
08/07/25,ADV MICRO DEVICE,קניה,36.0,137.88,דולר,-81.59,-16735.0,0.0,0,0.0
08/07/25,AMAZON.COM INC,קניה,45.0,220.38,דולר,-81.59,-33353.0,0.0,0,0.0
08/07/25,DRAGANFLY INC,קניה,2915.0,3.46,דולר,-123.83,-33962.0,0.0,0,0.0
09/07/25,ADV MICRO DEVICE,קניה,86.0,138.81,דולר,-81.56,-39810.0,0.0,0,0.0
09/07/25,ADV MICRO DEVICE,קניה,108.0,138.77,דולר,-81.9,-49959.0,0.0,0,0.0
09/07/25,TAIWAN SEMIC-ADR,קניה,64.0,232.58,דולר,-80.97,-49619.0,0.0,0,0.0
09/07/25,JOBY AVIATION IN,קניה,875.0,11.42,דולר,-101.3,-33356.0,0.0,0,0.0
09/07/25,VERTICAL AEROSPA,מכירה,-1000.0,4.95,דולר,-98.41,16266.0,-6418.0,-1604,0.0
11/07/25,DAX.IBIממ,קניה,15788.0,192.05,"ש""ח",-30.32,-30351.0,0.0,0,0.0
14/07/25,ARCHER-DANIELS,קניה,184.0,54.04,דולר,-85.7,-33545.0,0.0,0,0.0
